Name,Ubicación,Unidades,Players,Age
504,G1,1,2--4,12+
¡ALZAD VUESTRAS COPAS!,G1,1,2--12,8+
¡ATRAPA LA CACA!,V5,1,2--4,5+
¡AVENTUREROS AL TREN! REINO UNIDO,K3,1,2--5,8+
¡CAMARERO!,Q3,1,3--10,8+
¡DE MUDANZAS!,Q9,2,3--6,10+
¡MÍA!,Q7,1,1--6,6+
¡PASA EL MARRÓN!,R7,1,2--9,8+
¡PINGÜINOS!,Q2,1,2--4,8+
"¡RESCATE! ALTO RIESGO, EXPANSIÓN",B5,1,2--6,10+
¡TIBURÓN!,Q4,1,3--6,7+
¡TIRA AL CUERVO!,W8,1,2,5+
¿ALGUIEN HA JUGADO A ESTE JUEGO?,Q2,1,2--+,13o+
"¿POR QUÉ NO TE CALLAS, CARIÑO?",Q7,2,3--8,14+
¿POR QUÉ NO TE CALLAS?,Q7,2,2--4,16+
¿QUIÉN ES QUIÉN?,X7,1,2,6+
¿QUIEN ES QUIEN? DE VIAJE,X6,1,2,6+
¿QUIÉN ES QUIÉN? DISNEY,X7,1,2,6+
"1,2,3! NOW YOU SEE ME",R8,1,3--8,8+
10 NEGRITOS,A4,1,1--6,8+
1000 KILOMETROS,Q4,1,2--6,7+
10'TO KILL,I3,1,2--4,12+
13 DÍAS LA CRISIS DE LOS MISILES EN CUBA,A3,1,2,10+
15 DÍAS: THE SPANISH GOLDEN AGE,N4,1,2--8,12+
1911 AMUNDSEN VS SOTT,M3,1,2,12+
1920 WALL STREET,N3,1,2--5,12+
2 DE mayo,N2,1,2,12+
2 DE MAYO: EXPANSIÓN ASALTO AL PALACIO GRIMALDI (DENTRO DEL BÁSICO),N2,1,2,12+
21 MUTINIES: ARRR! EDITION,G2,1,2--5,10+
30 CARATS,J5,1,3--6,9+
4 EN LETRAS,R6,1,1--16,5+
4 PINTS PLEASE! (¡4 BIRRAS POR FAVOR!),R8,1,2--8,16+
5 PEPINOS,R6,1,2--6,8+
7 WONDERS,O1,2,2--7,10+
7 WONDERS BABEL,O1,1,2--7,10+
7 WONDERS CITIES,EPR,1,2--8,13+
7 WONDERS DUEL PANTHEON,EPR,1,2,10+
7 WONDERS EXPANSION: WONDERPACK,O1,1,2--7,10+
7 WONDERS LIDERES,EPR,1,2--7,10+
7 WONDERS: DUEL,L4,2,2,10+
A LO LOCO,EPR,1,2--5,8+
A LO LOCO RETRO,Q2,2,2--5,8+
A TASTE FOR MURDER,N2,1,ROL,14+
ABALONE,I4,1,2,8+
ABRACADABRA: PARA BRUJAS Y MAGOS PROFESIONALES,W8,1,2--4,5+
ABREMENTE,X9,1,2,6+
ADVENTURE TIME: AVENTURAS EN EL MUNDO DE OOO,J5,1,1--5,8+
AGE OF WAR,N5,1,2--6,14+
AGRICOLA,E2,2,1--5,12+
AIR SHOW,F4,1,2--5,14+
AJEDREZ (FICHAS),CLASICOS 1,2,2,
AJEDREZ (TABLERO),T7,2,2+,6+
AJEDREZ + DAMAS,CLASICOS 1,2,2+,6+
AJEDREZ AQUAMARINE,T7,1,2,
AJEDREZ VIKINGO,CLASICOS 0,1,2,14+
AJO Y AGUA,R3,1,4--6,8+
ALCATRAZ,F4,1,2--4,10+
ALCHEMICAL QUEST,B2/B0,2,1--4,8+
ALHAMBRA,H4,1,2--6,8+
ALICE,S8,1,2--4,10+
ALIENS: HADLEY´S HOPE,G5,1,2--6,14+
ALQUERQUE,CLASICOS 4,1,2,12+
ALQUIMISTAS,C2,1,2--4,10+
ALTA TENSION,G1,1,2--6,12+
ALTA TENSIÓN EL JUEGO DE CARTAS,M3,1,2--6,12+
ALTIPLANO,F2,1,2--5,14+
ALTO VOLTAJE,R6,1,2--4,8+
AMANECER EXPANSIÓN BATTLESTAR GALACTICA,A5,1,3--7,14+
A-MORPHOS,U7,1,2--5,6+
ANGRY BIRDS,V8,1,2--4,5+
ANTHROPOCHORY,R5,1,2--9,8+
ANTIMONOPOLY,P1,1,2--6,8+
ANTIVIRUS MUTATION,K5,1,1,7+
ANTON APRENDE A NADAR,U5,1,2--4,4+
APRENDE A CONTAR,V9,1,1--4,3+
APRENDO A CONTAR,U9,1,1+,4+
APRENDO A DELETREAR,U9,1,1+,4+
APRENDO A SUMAR Y RESTAR,U9,1,1+,4+
APRENDO DEL 1 AL 10,U9,1,1+,4+
APRENDO EL ABECEDARIO,U9,1,1+,4+
APRENDO EL ABECEDARIO PEPPA PIG,W9,1,1+,4+
APRENDO EL CUERPO HUMANO,U9,1,1+,4+
APRENDO INGLÉS CONECTOR,V9,1,1+,7+
APRENDO LAS VOCALES,U9,1,1+,4+
APRENDO LOS NÚMEROS PEPPA PIG,X9,1,1--4,3+
ARBORETUM,M3,1,2--4,8+
ARCANA,B2,1,2--4,13+
ARCANYA,N4,1,3--10,6+
ARKHAM HORROR,C2,1,1--8,12+
ARKHAM HORROR CARTAS,C2,1,1--2,14+
