Name,Ubicación,Unidades,Players,Age,Language
504,G1,1,2--4,12+,Español
¡ALZAD VUESTRAS COPAS!,G1,1,2--12,8+,Español
¡ATRAPA LA CACA!,V5,1,2--4,5+,Español
¡AVENTUREROS AL TREN! REINO UNIDO,K3,1,2--5,8+,Independiente
¡CAMARERO!,Q3,1,3--10,8+,Español
¡DE MUDANZAS!,Q9,2,3--6,10+,Español
¡MÍA!,Q7,1,1--6,6+,Español
¡PASA EL MARRÓN!,R7,1,2--9,8+,Español
¡PINGÜINOS!,Q2,1,2--4,8+,Independiente
"¡RESCATE! ALTO RIESGO, EXPANSIÓN",B5,1,2--6,10+,Español
¡TIBURÓN!,Q1,1,3--6,7+,Español
¡TIRA AL CUERVO!,W8,1,2,5+,Independiente
"¿POR QUÉ NO TE CALLAS, CARIÑO?",Q7,2,3--8,14+,Español
¿POR QUÉ NO TE CALLAS?,Q7,2,2--4,16+,Español
¿QUIÉN ES QUIÉN?,X7,1,2,6+,Español
¿QUIÉN ES QUIÉN? DISNEY,X7,1,2,6+,español
"1,2,3! NOW YOU SEE ME",R8,1,3--8,8+,Español/Inglés/Alemán
10 NEGRITOS,A4,1,1--6,8+,Español
1000 KILOMETROS,Q4,1,2--6,7+,Español
10'TO KILL,I3,1,2--4,12+,Español
13 DÍAS LA CRISIS DE LOS MISILES EN CUBA,A3,1,2,10+,Español
15 DÍAS: THE SPANISH GOLDEN AGE,N4,1,2--8,12+,Independiente
1911 AMUNDSEN VS SOTT,M3,1,2,12+,Español/Inglés
1920 WALL STREET,N3,1,2--5,12+,Español/Inglés
2 DE mayo,N2,1,2,12+,Español/Inglés
2 DE MAYO: EXPANSIÓN ASALTO AL PALACIO GRIMALDI (DENTRO DEL BÁSICO),O2,1,2,12+,Español/Inglés
21 MUTINIES: ARRR! EDITION,G2,1,2--5,10+,Español/Inglés/Alemán
30 CARATS,J5,1,3--6,9+,Independiente
4 EN LETRAS,R6,1,1--16,5+,Español
4 PINTS PLEASE! (¡4 BIRRAS POR FAVOR!),R8,1,2--8,16+,Español
5 PEPINOS,R6,1,2--6,8+,Español/Francés
7 WONDERS,O1,2,2--7,10+,Español
7 WONDERS BABEL,O1,1,2--7,10+,Independiente
7 WONDERS CITIES,EPR,1,2--8,13+,Independiente
7 WONDERS DUEL PANTHEON,EPR,1,2,10+,Español
7 WONDERS EXPANSION: WONDERPACK,O1,1,2--7,10+,Independiente
7 WONDERS LIDERES,EPR,1,2--7,10+,Independiente
7 WONDERS: DUEL,L4,2,2,10+,Español
A LO LOCO,EPR,1,2--5,8+,Español
A LO LOCO RETRO,Q2,2,2--5,8+,Español
A TASTE FOR MURDER,N2,1,ROL,14+,Español
ABALONE 2017,I4,1,2,8+,Independiente
ABRACADABRA: PARA BRUJAS Y MAGOS PROFESIONALES,W8,1,2--4,5+,Independiente
ABREMENTE,V2,1,2,6+,Español
ADVENTURE TIME: AVENTURAS EN EL MUNDO DE OOO,J5,1,1--5,8+,Español
AGE OF WAR,N5,1,2--6,14+,Español
AGRICOLA,E2,2,1--5,12+,Español
AIR SHOW,F4,1,2--5,14+,Español/Inglés
AJEDREZ,T7,5,2+,6+,Independiente
AJEDREZ VIKINGO,Z1,1,2,14+,Español
AJO Y AGUA,R3,1,4--6,8+,Español
ALCATRAZ,F4,1,2--4,10+,Español/Polaco
ALCHEMICAL QUEST,B0/B2,2,1--4,8+,Español
ALHAMBRA,H4,1,2--6,8+,Independiente
ALICE,S8,1,2--4,10+,Español
ALIENS: HADLEY´S HOPE,G5,1,2--6,14+,Español
ALQUERQUE,CLASICOS 4,1,2,12+,Español
ALQUIMISTAS,C2,1,2--4,10+,Español
ALTA TENSION,G1,1,2--6,12+,Español
ALTA TENSIÓN EL JUEGO DE CARTAS,M3,1,2--6,12+,Español
ALTIPLANO,F2,1,2--5,14+,Español
ALTO VOLTAJE,R6,1,2--4,8+,Español
AMANECER EXPANSIÓN BATTLESTAR GALACTICA,A5,1,3--7,14+,Español
A-MORPHOS,U7,1,2--5,6+,Independiente
ANGRY BIRDS,V8,1,2--4,5+,Español
ANTHROPOCHORY,R5,1,2--9,8+,Español
ANTIMONOPOLY,P1,1,2--6,8+,Español
ANTIVIRUS MUTATION,K5,1,1,7+,Español
ANTON APRENDE A NADAR,X5,1,2--4,4+,Inglés
APRENDE A CONTAR,V9,1,1--4,3+,Español/Portugués
APRENDO A CONTAR,U9,1,1+,4+,Español
APRENDO A DELETREAR,U9,1,1+,4+,Español
APRENDO A SUMAR Y RESTAR,U9,1,1+,4+,Español
APRENDO DEL 1 AL 10,U9,1,1+,4+,Español
APRENDO EL ABECEDARIO,U9,1,1+,4+,Español
APRENDO EL ABECEDARIO PEPPA PIG,V9,1,1+,4+,Español
APRENDO EL CUERPO HUMANO,U9,1,1+,4+,Español
APRENDO INGLÉS CONECTOR,V9,1,1+,7+,Español/Inglés/Portugués
APRENDO LAS VOCALES,U3,1,1+,4+,Español
APRENDO LOS NÚMEROS PEPPA PIG,X3,1,1--4,3+,Español/Francés
ARBORETUM,M3,1,2--4,8+,Español
ARCANA,B2,1,2--4,13+,Español
ARCANYA,N4,1,3--10,6+,Español
ARKHAM HORROR,C2,1,1--8,12+,Español
ARKHAM HORROR CARTAS,C2,1,1--2,14+,Español
ARKHAM HORROR JUEGO DE CARTAS: LEGADO DE DUNWICH 8EXPANSIÓN),C2,1,1--2,14+,Español
ARS UNIVERSALIS,F5,1,1--4,10+,Español/Inglés
ASHES: EL AUGE DE LOS NACIDOS DEL FÉNIX,N1,1,2--4,14+,Español
ASSASINS'S CLUB,J3,1,1--2,14+,Español/Inglés
ATOM,L4,1,2--,8+,Español
AVALON,R9,1,5--10,13+,Español
AVENTUREROS AL TREN,K3,1,2--5,8+,Español
AVENTUREROS AL TREN- EL JUEGO DE CARTAS,S2,1,2--4,8+,Español
AVENTUREROS AL TREN PRIMER VIAJE,X8,1,2--4,6+,Español
AVENTUREROS AL TREN: EUROPA,K3,2,2--5,8+,Español
AVENTUREROS AL TREN: LA VUELTA AL MUNDO,K3,1,2--5,10+,Español
AVENTUREROS AL TREN: PAÍSES NÓRDICOS,K2,1,2--3,8+,Inglés
AZUL,J2,1,2--4,8+,Español
BABY & MOTHER,W2,1,1,1+,Independiente
BABY BLUES,R8,1,2--4,8+,Independiente
BABY COLORS,X2,1,1+,2+,Independiente
BABY FACES,W2,1,1+,1+,Independiente
BABY LOGIC,W2,1,1+,1+,Independiente
BACKGAMMON,CLASICOS 4,3,2,15+,Español
BACKGAMMON RESINA,CLASICOS 0,1,2,14+,Español
BANDIDO,R7,2,1--4,4+,Español
BANG- LA BALA,T8,2,3--8,8+,Español
BANG! DODGE CITY,Q6,1,3--8,10+,Español
BANG! EL DUELO,T8,1,2,8+,Español
BANG! EL JUEGO DE DADOS,N3,1,3--8,8+,Español
BANG! EL VALLE DE LAS SOMBRAS,R6,1,4--7,8+,Español
BANG! FIEBRE DEL ORO,Q6,1,4--7,8+,Español
BANG! WILD WEST SHOW,R6,2,4--7,8+,Español
BAR BESTIAL,Q2,1,2--4,8+,Español
BARAJA ESPAÑOLA,CLASICOS 3,3,1+,6+,Independiente
BARAJA NAIPES FOURNIER PÓKER 55 CARTAS,CLASICOS 3,1,1+,6+,Independiente
BARCELONA: LA ROSA DEL FUEGO,G0,1,2--4,10+,Español
BASKETBALL AGE,A0,1,2,12+,Español
BATALLA DE OVEJAS,J5,1,2--4,7+,Independiente
BATALLA POR EL OLIMPO,L4,1,2,12+,Español
BATTLESTAR GALACTICA,A5,1,3--6,14+,Español
BELLAFLOR,W7,2,2--4,6+,Español
BINGO,CLASICOS 1,1,1--99,5+,español
BLACK HILLS,Q8,2,2--4,10+,Español
BLACK STORIES (CAJA DE MADERA),T9,1,2--15,12+,Español
BLACK STORIES 2 (CAJA DE MADERA),T9,1,2--15,12+,Español
BLACK STORIES 3 (CAJA DE MADERA),T9,1,2--15,14+,Español
BLACK STORIES CRIMENES REALES (CAJA DE MADERA),T9,1,2--15,12+,Español
BLACK STORIES ED. MEDIEVAL (CAJA DE MADERA),T9,1,2--15,12+,Español
BLACK STORIES ED. MISTERIO 2º (CAJA DE MADERA),T9,1,2--15,12+,Español
BLACK STORIES EDICIÓN MUSICA MACABRA (CAJA DE MADERA),T9,1,2+,12+,Español
BLACK STORIES EL INTERROGATORIO,T8,1,3--6,12+,Español
BLACK STORIES HOSPITALES DEMENCIALES (CAJA DE MADERA),T9,1,2--15,14+,Español
BLACK STORIES JUEGO DE TABLERO,T8,1,3--13,14+,Español
BLACK STORIES LEYENDAS OSCURAS (CAJA DE MADERA),T9,1,2,12+,Español
BLACK STORIES MARRONES MORTALES (CAJA DE MADERA),T9,1,2--15,12+,Español
BLACK STORIES MUERTES RIDÍCULAS (CAJA DE MADERA),T9,1,2--15,12+,Español
BLACK STORIES OFICINAS ASESINAS (CAJA DE MADERA),T9,1,2--15,12+,Español
BLACK STORIES SEXO Y CRIMEN (CAJA DE MADERA),T9,1,2--15,17+,Español
BLACK STORIES VACACIONES (CAJA DE MADERA),T9,1,2+,12+,Español
BLEKOTECO,R7,1,2--8,8,Español
BLOCK & BLOCK,0,1,2+,5+,Español
BLOKUS,J4,1,2--4,5+,Español
BLOOD BOWL TEAM MANAGER,P1,1,2--4,14+,Español
BLOOD BOWL: EXPANSIÓN 1 (DENTRO DEL BÁSICO),P1,1,2,12+,
BLOQS,J4,1,2--4,8+,Independiente
BLUFF PARTY,Q4,2,4--50,12+,Español
BOGGLE,L3,1,1--8,8+,Español
BOHNANZA,N2,2,2--7,13+,Español
BOTE SALVAVIDAS,N4,1,4--6,13+,Español
BOTE SALVAVIDAS: CANIBALISMO (DENTRO DEL BÁSICO),O3,1,4--7,12+,Español
BOTE SALVAVIDAS: CORAJE LÍQUIDO (DENTRO DEL BÁSICO),O3,2,4--8,12+,Español
BOTE SALVAVIDAS: NEBLINA (EXPANSIÓN),O4,1,4--6,13+,Español
BOUNCE -OFF,J3,1,2--4,7+,Inglés
BRAINS EL JARDÍN JAPONÉS,K5,1,1,8+,Español
BRAINS MAPA DEL TESORO,K5,1,1,9+,Español
BRAINS POCION MAGICA,K5,1,1,9+,Español
BRICK PARTY,Q8,1,2--9,5+,Español
BUBBLE POP,J4,2,1--2,8+,Español/Inglés
BUG,V8,1,2--6,4+,Independiente
CA-CA-BEZA!,V7,1,2--6,6+,Español/Portugués
CACAO,D4,1,2--4,8+,Independiente
CACCO XOCOLATL,D4,1,2--4,8+,Independiente
CAFÉ RACE,N2,1,3--6,8+,Independiente
CAMEL CUP,I3,2,2--8,8+,Español
CAMEL CUP CARTAS,I3,2,2--6,8+,Español/PORTUGUES
CAMPEONES OLIVER Y BENJI,Q3,1,2,8+,Español
CANDY TIME,X2,1,2--6,5+,Independiente
CAPITAN FLINT,V8,1,2--6,8+,Español
CARCASSONE MINIEXPANSIONES EL RIO Y EL ABAD,H3,1,2--5,7+,Español
CARCASSONNE,H3,1,2--5,7+,Español
CARCASSONNE + RÍO Y ABAD,H3,1,2 -- 5,7+,español
CARCASSONNE JUNIOR,X8,1,2--4,4+,Español/Portugués
CARCASSONNE: COLINAS Y OVEJAS,H3,1,2--6,8+,Español
CARCASSONNE: LA ABADIA Y EL ALCALDE,H3,1,2--6,8+,Español
CARCASSONNE: LA TORRE,H3,1,2--6,8+,Español
CARCASSONNE: MERCADOS Y PUENTES,H3,1,2--6,8+,Español
CARCASSONNE: POSADAS Y CATEDRALES + RÍO,H3,EPR,2--6,8+,Español
CARD WARS: BMO CONTRA LADY ARCO IRIS,N4,1,2,10+,Español
CARD WARS: FINN CONTRA JAKE,N4,1,2,10+,Español
CARD WARS: PRINCESA CHICLE CONRA PRINCESA DEL ESPACIO BULTOS,N4,1,2,10+,Español
CARDS AGAINST DOWNTIME,R2,1,3 +,17+,Inglés
CARDS AGAINST HUMANITY,R2,1,3--99,18+,Español
CARDS AGAINST HUMANITY (ENGLISH VERSION),R2,1,3--99,18+,Inglés
CARDS AGAINST HUMANITY (EPIC EDITION),R2,2,3--99,18+,Español
CARGOLINO VALENTINO,I3,1,2--6,5+,Independiente
CARTAGENA,F3,1,2--5,8+,Español
CASH'N GUNS SECOND EDITION,P1,1,4--8,1+,Español
CASH'N GUNS: EXPANSION MORE GUNS,P1,1,4--8,10+,Español/Alemán
CASH'N GUNS: EXPANSION TEAM SPIRIT,P1,1,4--9,10+,Español/Inglés/Francés
CASTLECARDS,Q7,1,2--4,9+,Independiente
CAT BOX,Q5,1,2--5,6+,Español
CATAN DE DADOS,N3,1,1--4,7+,Español
CATAN EXPANSIÓN 5 Y 6 JUGADORES,H2,2,5--6,10+,Español
CATAN EXPANSIÓN PIRATAS Y EXPLORADORES 5 Y 6 JUGADORES,G4,1,5--6,10+,Español
CATAN PLUS,H2,1,3--6,10+,Español
